,wheelbase,curbweight,enginesize,boreratio,horsepower,fueleconomy,carlength,carwidth,gas,turbo,hardtop,hatchback,sedan,wagon,fwd,rwd,dohcv,l,ohc,ohcf,ohcv,rotor,five,four,six,three,twelve,two,Medium,Highend,price
197,0.6103448275862067,0.6027928626842514,0.3018867924528302,0.8857142857142855,0.27499999999999997,0.3017832647462277,0.7756097560975612,0.5750000000000002,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.2829303410952783
126,0.10000000000000009,0.49185415050426684,0.5018867924528303,0.8571428571428574,0.6624999999999999,0.159122085048011,0.45203252032520336,0.3916666666666666,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.6804528077056751
118,0.2448275862068967,0.16679596586501166,0.10943396226415092,0.30714285714285716,0.08333333333333331,0.6584362139917694,0.2634146341463417,0.29166666666666696,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.01127054267414726
167,0.4068965517241381,0.4080682699767262,0.32075471698113206,0.7714285714285716,0.2833333333333333,0.32647462277091904,0.5707317073170732,0.44166666666666643,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.08269202125018618
101,0.4758620689655175,0.6233514352211016,0.45283018867924524,0.6357142857142859,0.4333333333333333,0.12208504801097392,0.6601626016260163,0.5166666666666666,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.20805818976217666
124,0.3206896551724139,0.5159038013964314,0.3584905660377358,0.7499999999999998,0.4041666666666666,0.17695473251028798,0.5219512195121951,0.5,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.18981182662231272
69,0.693103448275862,0.7785104732350658,0.460377358490566,0.7428571428571431,0.31249999999999994,0.2345679012345679,0.7544715447154475,0.833333333333333,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.5724144779305893
11,0.5034482758620689,0.35182311869666405,0.17735849056603775,0.6857142857142857,0.22083333333333333,0.29903978052126207,0.5804878048780493,0.375,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.2931085844794201
46,0.32413793103448274,0.4833204034134988,0.2188679245283019,0.6357142857142859,0.175,0.3141289437585733,0.5121951219512195,0.4083333333333341,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.14721215431209972
77,0.2448275862068967,0.17688130333591934,0.11698113207547167,0.30714285714285716,0.08333333333333331,0.5308641975308643,0.2634146341463417,0.3416666666666677,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.026587557718087462
15,0.5827586206896553,0.6757176105508145,0.558490566037736,0.7714285714285716,0.5583333333333333,0.10699588477366256,0.7788617886178866,0.5500000000000007,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.6365622362345464
110,0.9517241379310346,0.7532971295577968,0.3433962264150943,0.828571428571429,0.1958333333333333,0.27983539094650206,0.9398373983739843,0.6750000000000007,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.2170200089369942
201,0.7758620689655169,0.6055081458494957,0.3018867924528302,0.8857142857142855,0.4666666666666666,0.18930041152263383,0.7756097560975612,0.708333333333333,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.34573755027059233
115,0.7344827586206897,0.6155934833204033,0.22264150943396227,0.6571428571428573,0.20416666666666666,0.17695473251028798,0.7414634146341466,0.6750000000000007,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.28578521423961073
174,0.5448275862068965,0.38479441427463146,0.1849056603773585,0.5214285714285716,0.10416666666666663,0.45404663923182437,0.5609756097560976,0.5166666666666666,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.13852340995978352
134,0.43103448275862055,0.47284716834755613,0.22641509433962265,0.0,0.2583333333333333,0.2565157750342935,0.7398373983739837,0.5166666666666666,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.24631348989623159
169,0.4068965517241381,0.4123351435221102,0.32075471698113206,0.7714285714285716,0.2833333333333333,0.32647462277091904,0.5707317073170732,0.44166666666666643,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.12092249640037733
92,0.27241379310344804,0.17455391776570983,0.1358490566037736,0.4357142857142857,0.08749999999999997,0.5185185185185186,0.3934959349593501,0.29166666666666696,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0429720470681694
173,0.5448275862068965,0.3250581846392552,0.23018867924528302,0.55,0.1833333333333333,0.45130315500685864,0.5609756097560976,0.5166666666666666,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.09507968819820267
74,0.875862068965517,0.8638479441427462,0.9169811320754717,0.9000000000000001,0.5666666666666667,0.002743484224965731,0.9447154471544716,0.9750000000000005,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0
3,0.45517241379310347,0.3293250581846392,0.18113207547169813,0.4642857142857142,0.22499999999999998,0.32647462277091904,0.5772357723577235,0.49166666666666714,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.21925425748473265
157,0.31379310344827616,0.24088440651667964,0.139622641509434,0.4642857142857142,0.09166666666666667,0.5034293552812072,0.409756097560976,0.3416666666666677,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0516359664366218
81,0.3344827586206893,0.32583397982932505,0.23018867924528302,0.5785714285714285,0.16666666666666663,0.36625514403292186,0.5186991869918702,0.4250000000000007,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0839332704433742
32,0.2448275862068967,0.1353762606671839,0.06792452830188678,0.26428571428571446,0.04999999999999999,0.6858710562414265,0.14471544715447182,0.30833333333333357,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.006975820465716681
99,0.3655172413793104,0.3242823894491854,0.22264150943396227,0.5642857142857143,0.20416666666666666,0.42112482853223593,0.5252032520325205,0.4083333333333341,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.09510451318206642
26,0.2448275862068967,0.1943366951124903,0.10943396226415092,0.30714285714285716,0.08333333333333331,0.5308641975308643,0.2634146341463417,0.29166666666666696,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.06183903480462738
88,0.3344827586206893,0.3549262994569433,0.1849056603773585,0.44999999999999996,0.2833333333333333,0.3113854595336076,0.5089430894308946,0.4250000000000007,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.1032967578571074
184,0.36896551724137927,0.3010085337470908,0.1358490566037736,0.33571428571428563,0.016666666666666663,0.7201646090534977,0.4975609756097561,0.43333333333333357,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.07142147857603892
187,0.36896551724137927,0.3223429014740109,0.1358490566037736,0.33571428571428563,0.08333333333333331,0.6707818930041152,0.4975609756097561,0.43333333333333357,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.10865895437167966
52,0.22413793103448265,0.16175329712955777,0.1132075471698113,0.34999999999999987,0.08333333333333331,0.5308641975308643,0.29268292682926855,0.3250000000000002,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.041631497939526335
168,0.4068965517241381,0.40651667959658644,0.32075471698113206,0.7714285714285716,0.2833333333333333,0.32647462277091904,0.5707317073170732,0.44166666666666643,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.11223375204806116
164,0.27241379310344804,0.2777346780449961,0.139622641509434,0.4642857142857142,0.09166666666666667,0.45130315500685864,0.448780487804878,0.30833333333333357,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.07745394965493271
188,0.36896551724137927,0.3149728471683475,0.18113207547169813,0.4642857142857142,0.21666666666666667,0.3813443072702332,0.4975609756097561,0.43333333333333357,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.1210714463035599
7,0.6620689655172414,0.5686578743211792,0.2830188679245283,0.4642857142857142,0.2583333333333333,0.18930041152263383,0.8390243902439023,0.9250000000000007,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.3426344272876223
158,0.31379310344827616,0.3052754072924748,0.1849056603773585,0.5214285714285716,0.033333333333333326,0.5514403292181072,0.409756097560976,0.3416666666666677,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.06901345514125415
123,0.5758620689655172,0.40612878200155156,0.23018867924528302,0.5785714285714285,0.16666666666666663,0.32647462277091904,0.5447154471544717,0.3583333333333334,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.09440941363388114
28,0.5758620689655172,0.40612878200155156,0.23018867924528302,0.5714285714285714,0.16666666666666663,0.32647462277091904,0.5447154471544717,0.3583333333333334,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.09440941363388114
29,0.3206896551724139,0.513188518231187,0.3584905660377358,0.7571428571428573,0.4041666666666666,0.17695473251028798,0.5219512195121951,0.5,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.1947768233950648
182,0.36896551724137927,0.29984484096198605,0.1358490566037736,0.33571428571428563,0.016666666666666663,0.7201646090534977,0.4975609756097561,0.43333333333333357,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.06595998212601162
40,0.3413793103448275,0.34290147401086113,0.1849056603773585,0.4357142857142857,0.15833333333333333,0.4087791495198903,0.5577235772357727,0.18333333333333357,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.12851894146268805
128,0.10000000000000009,0.5089216446858029,0.5018867924528303,0.8571428571428574,0.6624999999999999,0.159122085048011,0.45203252032520336,0.3916666666666666,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.7921652350925972
122,0.2448275862068967,0.2726920093095423,0.139622641509434,0.30714285714285716,0.08333333333333331,0.5308641975308643,0.42601626016260186,0.29166666666666696,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.06183903480462738
125,0.27241379310344804,0.5003878975950349,0.33962264150943394,1.0000000000000002,0.3958333333333333,0.21399176954732507,0.45203252032520336,0.666666666666667,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.41954222729755225
166,0.27241379310344804,0.3149728471683475,0.139622641509434,0.5000000000000002,0.26666666666666666,0.3443072702331961,0.448780487804878,0.30833333333333357,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.10972642867782137
1,0.068965517241379,0.41117145073700545,0.26037735849056604,0.6642857142857144,0.26249999999999996,0.2441700960219479,0.4504065040650409,0.31666666666666643,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.2825579663373219
199,0.6103448275862067,0.6474010861132662,0.26037735849056604,0.7714285714285716,0.47500000000000003,0.12208504801097392,0.7756097560975612,0.5750000000000002,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.3433791768035351
190,0.27241379310344804,0.2843289371605896,0.18113207547169813,0.4642857142857142,0.175,0.3141289437585733,0.3999999999999999,0.30833333333333357,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.1206990715456035
96,0.27241379310344804,0.1873545384018619,0.1358490566037736,0.4357142857142857,0.08749999999999997,0.5185185185185186,0.3934959349593501,0.29166666666666696,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.05910828657961373
177,0.5448275862068965,0.3762606671838634,0.23018867924528302,0.55,0.1833333333333333,0.39643347050754457,0.5609756097560976,0.5166666666666666,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.1521771510848518
181,0.6172413793103448,0.6450737005430567,0.3773584905660377,0.5214285714285716,0.45,0.17695473251028798,0.7593495934959353,0.5166666666666666,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.2639392284395015
97,0.27241379310344804,0.212955779674166,0.1358490566037736,0.4357142857142857,0.08749999999999997,0.5185185185185186,0.47317073170731705,0.29166666666666696,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.07152077851149397
120,0.2448275862068967,0.18580294802172226,0.10943396226415092,0.30714285714285716,0.08333333333333331,0.5308641975308643,0.2634146341463417,0.29166666666666696,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0275805570726379
